"Year","Unit","Value","Scenario","Case","delta"
2050,"kg CO2 eq",50610020673825.5,"SSP1","2018-2050 Baseline budget",50610020673825.5
2050,"kg CO2 eq",61101763707418.1,"SSP1","Growing vehicle travel demand",10491743033592.6
2050,"kg CO2 eq",56190414987295.1,"SSP1","CAFE",-4911348720122.95
2050,"kg CO2 eq",54077182236532.3,"SSP1","High weight control",-2113232750762.8
2050,"kg CO2 eq",49037312720959.8,"SSP1","EV30@30",-5039869515572.55
2050,"kg CO2 eq",45416300361265.7,"SSP1","EV30@30 with renewables",-8660881875266.62
2050,"kg CO2 eq",50615760361740.8,"SSP2","2018-2050 Baseline budget",50615760361740.8
2050,"kg CO2 eq",62992448637624.8,"SSP2","Growing vehicle travel demand",12376688275884
2050,"kg CO2 eq",57863160526940.2,"SSP2","CAFE",-5129288110684.59
2050,"kg CO2 eq",55656943609001.8,"SSP2","High weight control",-2206216917938.47
2050,"kg CO2 eq",50479828946160,"SSP2","EV30@30",-5177114662841.8
2050,"kg CO2 eq",46601652539418.8,"SSP2","EV30@30 with renewables",-9055291069582.96
2050,"kg CO2 eq",50615059890778.9,"SSP5","2018-2050 Baseline budget",50615059890778.9
2050,"kg CO2 eq",70082122718878.5,"SSP5","Growing vehicle travel demand",19467062828099.5
2050,"kg CO2 eq",64029635404979.2,"SSP5","CAFE",-6052487313899.25
2050,"kg CO2 eq",61423427394408.6,"SSP5","High weight control",-2606208010570.63
2050,"kg CO2 eq",55259155657499.5,"SSP5","EV30@30",-6164271736909.15
2050,"kg CO2 eq",50663133172639.5,"SSP5","EV30@30 with renewables",-10760294221769.1
2050,"kg CO2",44309447425735.7,"SSP1","2015-2050 Carbon budget",44309447425735.7
2050,"kg CO2",49729537571741.4,"SSP2","2015-2050 Carbon budget",49729537571741.4
2050,"kg CO2",49928969439572.8,"SSP5","2015-2050 Carbon budget",49928969439572.8
